X,Y,Name,Location,Episode,TikTok,YouTube
-83.0010522637088,42.8077942699369,"Romeo, MI","42.80779426993694, -83.00105226370881",S1E251,https://www.tiktok.com/@the_josemonkey/video/7276576303090978094,https://youtu.be/iQDeS5eb7g0
8.53892847829301,52.0127981920198,"Bielefeld, Germany","52.012798192019794, 8.538928478293014",S1E252,https://www.tiktok.com/@the_josemonkey/video/7277369378654473515,https://youtu.be/eQa7DbhvwxI
-94.6335327327722,39.0295069653333,"Fairway, KS","39.0295069653333, -94.63353273277218",S1E253,https://www.tiktok.com/@the_josemonkey/video/7277744528906308906,https://youtu.be/oHLaP1N5qAM
-97.7638937853207,30.1999029092011,"Austin, TX","30.199902909201118, -97.7638937853207",S1E254,https://www.tiktok.com/@the_josemonkey/video/7278277837650496810,https://youtu.be/kjVK71EGYBc
-87.0276814490557,36.3967985321704,"Pleasant View, TN","36.3967985321704, -87.0276814490557",S1E255,https://www.tiktok.com/@the_josemonkey/video/7278809948035894558,https://youtu.be/diaO4AbVAMg
120.684408046078,24.3812916370241,"Miaoli County, Taiwan","24.381291637024148, 120.68440804607782",S1E256,https://www.tiktok.com/@the_josemonkey/video/7280260040206863647,https://youtu.be/B4rMJzGjNzE
-75.5326820672013,38.9840770086538,"Felton, DE","38.98407700865381, -75.53268206720129",S1E257,https://www.tiktok.com/@the_josemonkey/video/7281027964538621230,https://youtu.be/hJCHim6b3Ag
-81.3625247608796,41.6606512671489,"Mentor, OH","41.66065126714886, -81.36252476087955",S1E258,https://www.tiktok.com/@the_josemonkey/video/7281453526226603307,https://youtu.be/wht1iiG7jUM
-63.5705853853384,44.6452336100925,"Halifax, NS","44.64523361009249, -63.57058538533845",S1E259,https://www.tiktok.com/@the_josemonkey/video/7281828267693247786,https://youtu.be/V1iY4ut3Yps
-106.27168671818,42.8519496222527,"Casper, WY","42.8519496222527, -106.27168671817992",S1E260,https://www.tiktok.com/@the_josemonkey/video/7282897317655579950,https://youtu.be/YChPwEAPYU4
-95.6500110829317,29.7867405206877,"Houston, TX","29.78674052068767, -95.65001108293173",S1E261,https://www.tiktok.com/@the_josemonkey/video/7283454899310939435,https://youtu.be/leJUNRouiDE
-78.8976650171309,38.0726090398662,"Waynesboro, VA","38.07260903986622, -78.89766501713086",S1E262,https://www.tiktok.com/@the_josemonkey/video/7283862603653238058,https://youtu.be/rXFPGMCuJ1U
-80.0391890912402,37.2907383123079,"Salem, VA","37.29073831230789, -80.03918909124016",S1E263,https://www.tiktok.com/@the_josemonkey/video/7284715747929263406,https://youtu.be/qozGywI4x2Y
-88.302914027302,41.8500399870477,"Batavia, IL","41.85003998704768, -88.30291402730195",S1E264,https://www.tiktok.com/@the_josemonkey/video/7285174297667145002,https://youtu.be/-wW6a-wvK08
-85.280260261136,35.0310908843704,"Chattanooga, TN","35.03109088437038, -85.28026026113598",S1E265,https://www.tiktok.com/@the_josemonkey/video/7285903024072117550,https://youtu.be/oeHVF1JkU-8
-85.3292148229675,35.0979430337639,"Chattanooga, TN","35.097943033763876, -85.32921482296751",S1E265,https://www.tiktok.com/@the_josemonkey/video/7285903024072117550,https://youtu.be/oeHVF1JkU-8
-122.91727664577,47.0160100601939,"Tumwater, WA","47.01601006019389, -122.91727664576973",S1E266,https://www.tiktok.com/@the_josemonkey/video/7286279459827666219,https://youtu.be/D3PoImBRdec
-106.142324256161,38.056724819401,"Saguache County, CO","38.056724819400955, -106.14232425616129",S1E267,https://www.tiktok.com/@the_josemonkey/video/7287008839726026026,https://youtu.be/taHEIzYdqJI
-76.4566598937733,37.0133101787054,"Newport News, VA","37.013310178705446, -76.45665989377332",S1E268,https://www.tiktok.com/@the_josemonkey/video/7287389742570687790,https://youtu.be/DPjso5Qbpv4
-89.578958036725,44.8912141023148,"Weston, WI","44.891214102314834, -89.57895803672504",S1E269,https://www.tiktok.com/@the_josemonkey/video/7287743543286893870,https://youtu.be/TZ7NwBqbRJw
-157.873402228065,21.3183790368853,"Honolulu, HI","21.31837903688531, -157.87340222806486",S1E270,https://www.tiktok.com/@the_josemonkey/video/7288482757527735594,https://youtu.be/AAr_mHyOiVw
121.529546273216,25.1196538419958,"Shilin District, Taipei City, Taiwan","25.119653841995778, 121.52954627321627",S1E271,https://www.tiktok.com/@the_josemonkey/video/7289245893612670251,https://youtu.be/OJ9g6oBR2Yc
-96.9944832440205,32.9213028086059,"Irving, TX","32.92130280860592, -96.99448324402054",S1E272,https://www.tiktok.com/@the_josemonkey/video/7289902408224886058,https://youtu.be/lm8v0nVWoiE
-82.739519278406,27.8919372377538,"Largo, FL","27.891937237753787, -82.73951927840595",S1E273,https://www.tiktok.com/@the_josemonkey/video/7290728144250686762,https://youtu.be/EIREXsD98uM
-80.0731544024141,42.1276206755701,"Erie, PA","42.127620675570114, -80.07315440241415",S1E274,https://www.tiktok.com/@the_josemonkey/video/7291097697434701102,https://youtu.be/GVxnimGyPvo
-119.652544473211,39.3027975542909,"Virginia City, NV","39.302797554290855, -119.65254447321078",S1E275,https://www.tiktok.com/@the_josemonkey/video/7291649323442457898,https://youtu.be/bgnOJapod4M
-80.7411339278557,41.0928870094275,"Austintown, OH","41.09288700942748, -80.74113392785567",S1E276,https://www.tiktok.com/@the_josemonkey/video/7292404777940438315,https://youtu.be/bSCIHbnZaeY
-92.5711300217459,34.5809739056258,"Benton, AR","34.58097390562579, -92.57113002174589",S1E277,https://www.tiktok.com/@the_josemonkey/video/7292969025443843371,https://youtu.be/CSSSiLdYjJc
-72.594186226854,44.2533618045352,"Montpelier, VT","44.253361804535245, -72.59418622685402",S1E278,https://www.tiktok.com/@the_josemonkey/video/7293690837823687982,https://youtu.be/QQuCEYs8scc
-73.7674488171359,41.0728897631239,"Valhalla, NY","41.072889763123854, -73.76744881713589",S1E279,https://www.tiktok.com/@the_josemonkey/video/7294444578751532330,https://youtu.be/9v1l2LZQnq4
